disease,medicine_name,dosage,frequency,duration,precautions
Common Cold,Paracetamol,500mg,Three times daily,3-5 days,Take after meals. Do not exceed 4g per day
Common Cold,Cetirizine,10mg,Once daily,3-5 days,May cause drowsiness. Take at bedtime
Common Cold,Vitamin C,500mg,Twice daily,7 days,Take with water after meals
Flu (Influenza),Paracetamol,650mg,Every 6 hours,5-7 days,Take with food. Stay hydrated
Flu (Influenza),Ibuprofen,400mg,Three times daily,5 days,Take after meals. Avoid if stomach ulcers
COVID-19,Paracetamol,500mg,Every 6 hours if fever,As needed,Monitor oxygen levels. Seek medical help if breathing difficulty
COVID-19,Vitamin D3,2000 IU,Once daily,14 days,Consult doctor for proper dosage
Malaria,Artemether + Lumefantrine,As prescribed,Twice daily,3 days,Complete full course. Take with fatty food
Dengue,Paracetamol,500mg,Every 6 hours,As needed,Avoid aspirin and ibuprofen. Monitor platelet count
Gastritis,Omeprazole,20mg,Once daily before breakfast,14 days,Take 30 minutes before meal. Avoid spicy food
Gastritis,Antacid (Gelusil),2 tablets,After meals,7 days,Chew tablets thoroughly
Migraine,Sumatriptan,50mg,At onset of migraine,As needed,Rest in dark room. Avoid triggers
Migraine,Paracetamol,1000mg,When needed,As needed,Do not exceed 4g per day
Diabetes,Metformin,500mg,Twice daily with meals,Continuous,Monitor blood sugar. Follow diet plan
Hypertension,Amlodipine,5mg,Once daily,Continuous,Monitor BP regularly. Reduce salt intake
UTI (Urinary Tract Infection),Nitrofurantoin,100mg,Twice daily,5-7 days,Complete full course. Drink plenty of water
Allergy,Loratadine,10mg,Once daily,As needed,Non-drowsy formulation
Allergy,Cetirizine,10mg,Once daily at bedtime,As needed,May cause drowsiness
Asthma,Salbutamol Inhaler,2 puffs,When needed,As needed,Carry inhaler always. Rinse mouth after use
Constipation,Lactulose,15ml,Twice daily,3-5 days,Increase fiber and water intake
Diarrhea,Loperamide,2mg,After each loose stool,Max 3 days,Stay hydrated. Use ORS
Diarrhea,Oral Rehydration Solution,200ml,After each loose stool,Until recovered,Prepare fresh solution
Arthritis,Diclofenac,50mg,Twice daily,As prescribed,Take after meals. Monitor for side effects
Anemia,Ferrous Sulfate,325mg,Once daily,3 months,Take with Vitamin C for better absorption
Thyroid Disorder,Levothyroxine,50mcg,Once daily on empty stomach,Continuous,Take 30 minutes before breakfast
Acne,Benzoyl Peroxide Gel,Apply thin layer,Once daily at night,8-12 weeks,May cause dryness. Use moisturizer
GERD (Acid Reflux),Pantoprazole,40mg,Once daily before breakfast,4-8 weeks,Avoid lying down after meals
