disease,precaution_1,precaution_2,precaution_3,precaution_4
Common Cold,Rest well,Drink warm fluids,Use steam inhalation,Maintain hygiene
Flu (Influenza),Complete bed rest,Stay hydrated,Isolate from others,Cover mouth when coughing
COVID-19,Self-isolate immediately,Monitor oxygen levels,Wear mask,Seek medical help if severe
Malaria,Use mosquito nets,Complete full medication course,Stay in cool environment,Drink plenty of fluids
Dengue,Drink plenty of fluids,Monitor platelet count,Complete bed rest,Avoid aspirin and ibuprofen
Typhoid,Drink clean water only,Maintain hygiene,Rest completely,Eat light easily digestible food
Pneumonia,Complete antibiotic course,Rest adequately,Stay hydrated,Avoid smoking
Tuberculosis,Complete 6-9 month treatment,Wear mask,Maintain good ventilation,Nutritious diet
Asthma,Avoid triggers,Carry inhaler always,Regular breathing exercises,Avoid smoking and pollution
Migraine,Identify and avoid triggers,Maintain sleep schedule,Stay hydrated,Practice stress management
Diabetes,Monitor blood sugar regularly,Follow diet plan,Exercise daily,Take medicines on time
Hypertension,Reduce salt intake,Exercise regularly,Manage stress,Monitor BP daily
Heart Attack,Call emergency immediately,Chew aspirin if available,Stay calm and rest,Do not drive yourself
Stroke,Call emergency immediately,Note time of symptom onset,Do not give food or water,Keep patient calm
Gastritis,Avoid spicy food,Eat small frequent meals,Avoid alcohol,Reduce stress
Peptic Ulcer,Avoid NSAIDs,Quit smoking,Avoid spicy food,Complete medication course
Hepatitis,Complete bed rest,Avoid alcohol completely,Eat nutritious food,Maintain hygiene
Appendicitis,Seek immediate medical attention,Do not eat or drink,Avoid pain medications,Do not apply heat
Kidney Stones,Drink plenty of water,Reduce salt intake,Limit animal protein,Avoid stone-forming foods
UTI (Urinary Tract Infection),Drink plenty of water,Urinate frequently,Maintain hygiene,Complete antibiotic course
Chicken Pox,Isolate from others,Do not scratch,Trim nails,Use calamine lotion
Measles,Complete isolation,Rest in dark room,Stay hydrated,Maintain hygiene
Arthritis,Regular gentle exercise,Maintain healthy weight,Apply heat/cold therapy,Protect joints
Anemia,Eat iron-rich foods,Take prescribed supplements,Increase Vitamin C intake,Regular blood tests
Allergy,Identify and avoid allergens,Keep antihistamine handy,Maintain clean environment,Consider allergy testing
Bronchitis,Avoid smoking,Use humidifier,Stay hydrated,Get adequate rest
Constipation,Increase fiber intake,Drink more water,Exercise regularly,Establish routine
Diarrhea,Stay hydrated with ORS,Eat bland foods,Avoid dairy products,Maintain hygiene
GERD (Acid Reflux),Avoid trigger foods,Eat small meals,Do not lie down after eating,Elevate head while sleeping
