iter	MultiClass
0	3.541056817
1	3.386165415
2	3.237103749
3	3.06993373
4	2.958059554
5	2.845914362
6	2.698284385
7	2.611083482
8	2.484203197
9	2.407858515
10	2.331968959
11	2.244010266
12	2.185911077
13	2.126104661
14	2.018327375
15	1.938939475
16	1.850413507
17	1.765997867
18	1.723728007
19	1.656046173
20	1.616706377
21	1.58054895
22	1.542851703
23	1.505129088
24	1.470617349
25	1.438219486
26	1.372267233
27	1.343744474
28	1.279798468
29	1.250783033
30	1.224438075
31	1.198309879
32	1.173487659
33	1.148649239
34	1.124168741
35	1.100705747
36	1.07927977
37	1.057389499
38	1.019151476
39	0.9935610422
40	0.9602333351
41	0.941175296
42	0.9191058751
43	0.8955555355
44	0.875992198
45	0.8416342402
46	0.82095676
47	0.8066948157
48	0.7831159678
49	0.765638689
50	0.7505387043
51	0.7268915373
52	0.701815507
53	0.6905258869
54	0.6638056751
55	0.6513000614
56	0.6355017517
57	0.6245454388
58	0.610313133
59	0.5906117757
60	0.5815734235
61	0.5705229834
62	0.5620905872
63	0.5542215732
64	0.5452090919
65	0.5341759199
66	0.5187604928
67	0.5035336969
68	0.4927020917
69	0.4851452863
70	0.4773011384
71	0.4712598196
72	0.4573575871
73	0.444998125
74	0.4389247816
75	0.4265734512
76	0.4167300252
77	0.4110883234
78	0.4049840856
79	0.399205149
80	0.387044208
81	0.3765174018
82	0.3709912084
83	0.3666713385
84	0.3620162148
85	0.3575527992
86	0.354629548
87	0.3447607535
88	0.3354188268
89	0.3292474315
90	0.3244358267
91	0.3187063084
92	0.3126414735
93	0.3059458164
94	0.3028207473
95	0.2989501325
96	0.2956612355
97	0.2913773776
98	0.2884895733
99	0.2843607208
100	0.278656571
101	0.27101669
102	0.268781246
103	0.2664313925
104	0.2631718514
105	0.2575388622
106	0.2515563651
107	0.2493075147
108	0.2434395527
109	0.2403939644
110	0.2381172023
111	0.2336670989
112	0.2307904247
113	0.2289089941
114	0.2231261328
115	0.2185842098
116	0.2171990665
117	0.2154831749
118	0.2130707792
119	0.2114973343
120	0.208849746
121	0.2042820934
122	0.2029934793
123	0.2014335193
124	0.1992659078
125	0.1974683848
126	0.1944434084
127	0.1932824845
128	0.1918711721
129	0.1887215351
130	0.1859984064
131	0.1845256664
132	0.1815274556
133	0.1804362482
134	0.1798504017
135	0.1787893978
136	0.1773533448
137	0.1742392646
138	0.1710327211
139	0.1677882976
140	0.1665561346
141	0.1657622537
142	0.1642116029
143	0.1632853378
144	0.1606205128
145	0.1598529423
146	0.1587610755
147	0.1577821268
148	0.1561489027
149	0.1546280786
150	0.1532870791
151	0.1506272932
152	0.149553087
153	0.1479129556
154	0.1467953435
155	0.1450235186
156	0.1441458557
157	0.1430840512
158	0.1410029376
159	0.1398660793
160	0.1382256653
161	0.1374432442
162	0.1352834191
163	0.1339544445
164	0.1319595463
165	0.1305558083
166	0.128886423
167	0.1278965483
168	0.1267732848
169	0.1254120815
170	0.1244748041
171	0.1227841632
172	0.1217927109
173	0.1210184451
174	0.1206056571
175	0.1197932993
176	0.1188322782
177	0.116847262
178	0.1158987681
179	0.1154267817
180	0.1135979876
181	0.1130977128
182	0.1126226182
183	0.1114077313
184	0.1102405438
185	0.1099986324
186	0.108700662
187	0.1076327194
188	0.1061576168
189	0.1053596465
190	0.1039912848
191	0.1026566195
192	0.1019533887
193	0.1009389775
194	0.1005375395
195	0.09929277867
196	0.09881083955
197	0.09812632117
198	0.09757851181
199	0.09694459703
