iter	Passed	Remaining
0	193	38582
1	358	35517
2	518	34017
3	686	33640
4	842	32861
5	1001	32373
6	1168	32213
7	1324	31792
8	1487	31563
9	1642	31202
10	1796	30869
11	1955	30643
12	2113	30397
13	2277	30253
14	2448	30201
15	2616	30086
16	2813	30286
17	3014	30479
18	3173	30231
19	3344	30102
20	3509	29918
21	3666	29668
22	3819	29393
23	3984	29222
24	4143	29006
25	4300	28783
26	4484	28732
27	4647	28545
28	4828	28469
29	4985	28250
30	5145	28053
31	5306	27858
32	5464	27655
33	5618	27433
34	5777	27236
35	5937	27048
36	6103	26888
37	6261	26695
38	6428	26537
39	6588	26355
40	6751	26183
41	6911	26000
42	7073	25826
43	7234	25650
44	7397	25478
45	7566	25332
46	7736	25186
47	7896	25004
48	8054	24820
49	8217	24652
50	8376	24472
51	8536	24296
52	8705	24146
53	8868	23977
54	9046	23850
55	9205	23672
56	9365	23494
57	9525	23321
58	9685	23147
59	9845	22973
60	10003	22795
61	10165	22626
62	10329	22462
63	10489	22290
64	10661	22142
65	10815	21959
66	10987	21810
67	11147	21638
68	11311	21475
69	11471	21304
70	11630	21132
71	11790	20961
72	11962	20811
73	12132	20658
74	12292	20487
75	12468	20342
76	12629	20174
77	12786	20000
78	12947	19831
79	13110	19665
80	13304	19546
81	13471	19386
82	13635	19221
83	13794	19049
84	13954	18879
85	14111	18706
86	14276	18542
87	14452	18393
88	14647	18268
89	14806	18097
90	14966	17926
91	15124	17754
92	15291	17593
93	15449	17422
94	15610	17254
95	15767	17081
96	15927	16912
97	16084	16741
98	16241	16569
99	16399	16399
100	16568	16239
101	16777	16119
102	16936	15949
103	17094	15779
104	17252	15609
105	17413	15442
106	17603	15300
107	17761	15130
108	17966	14999
109	18126	14830
110	18292	14667
111	18461	14505
112	18619	14334
113	18787	14172
114	18985	14032
115	19157	13872
116	19317	13703
117	19476	13534
118	19638	13367
119	19796	13197
120	19961	13032
121	20148	12881
122	20312	12715
123	20476	12549
124	20635	12381
125	20792	12211
126	20953	12044
127	21117	11878
128	21285	11715
129	21454	11552
130	21614	11384
131	21776	11218
132	21941	11053
133	22100	10885
134	22258	10717
135	22420	10550
136	22581	10384
137	22757	10224
138	22922	10059
139	23094	9897
140	23253	9729
141	23413	9563
142	23579	9398
143	23741	9232
144	23922	9073
145	24079	8906
146	24237	8738
147	24397	8572
148	24560	8406
149	24720	8240
150	24881	8074
151	25067	7915
152	25226	7749
153	25396	7586
154	25557	7419
155	25712	7252
156	25871	7085
157	26026	6918
158	26195	6754
159	26353	6588
160	26510	6421
161	26665	6254
162	26841	6092
163	27003	5927
164	27175	5764
165	27338	5599
166	27503	5434
167	27659	5268
168	27815	5102
169	27976	4937
170	28130	4770
171	28320	4610
172	28478	4444
173	28634	4278
174	28784	4112
175	28939	3946
176	29095	3780
177	29253	3615
178	29410	3450
179	29562	3284
180	29741	3122
181	29903	2957
182	30064	2792
183	30230	2628
184	30390	2464
185	30549	2299
186	30720	2135
187	30880	1971
188	31045	1806
189	31206	1642
190	31388	1479
191	31556	1314
192	31714	1150
193	31887	986
194	32052	821
195	32223	657
196	32375	493
197	32539	328
198	32704	164
199	32863	0
